Name,Date,points,Weight,Body Weight
Terron Beckham,05/13/2023,103.76,852.5 kg,108.3 kg
Douglas Bowen,07/30/2022,103.72,775 kg,88.8 kg
Deon Casey,03/18/2023,103.61,800 kg,95 kg
Angelo Agustin,05/07/2023,103.58,855 kg,109.4 kg
LEWIS BRYCE,07/25/2015,103.52,810 kg,97.6 kg
Adam Steede,08/17/2019,103.52,745 kg,82.4 kg
Morgan Chan,06/03/2023,103.48,745 kg,82.5 kg
Casmir Hughes,11/19/2022,103.46,737.5 kg,80.9 kg
Cole Waggoner,03/11/2023,103.43,775 kg,89.3 kg
Edward Meixner,03/25/2023,103.42,800 kg,95.3 kg
Bomnorng Tek,05/04/2019,103.38,745 kg,82.6 kg
Dexter Jones,10/13/2016,103.32,735 kg,80.5 kg
Chance Brady,01/21/2023,103.29,742.5 kg,82.2 kg
Marcus Pierre,08/08/2020,103.25,745 kg,82.8 kg
Peter Pires,06/08/2022,103.23,765 kg,87.3 kg
Elliott Sykes,11/05/2022,103.21,687.5 kg,70.9 kg
Sean Stangl,05/25/2019,103.19,782.5 kg,91.5 kg
Cory Jenkins,03/16/2019,103.18,822.5 kg,101.5 kg
Zebulon Moore,06/03/2023,103.15,895 kg,122.4 kg
James Vang,12/13/2020,103.14,765 kg,65.4 kg
Joseph Adams,06/08/2022,103.14,775 kg,89.8 kg
Brandon Maddox,03/03/2017,103.13,692.5 kg,72 kg
Anthony McNaughton,07/10/2021,103.12,830 kg,103.6 kg
Tyler Wilson,04/13/2023,103.12,852 kg,109.6 kg
Grayson Beasley,04/08/2021,103.08,822.5 kg,101.7 kg
Derek Akunne,06/30/2018,103.06,832.5 kg,104.4 kg
Anthony Conyers,07/09/2017,103.06,700 kg,73.6 kg
Bryan Harwell,04/13/2023,103.06,775 kg,89.9 kg
Ray Thomas,04/22/2023,103.04,812.5 kg,99.2 kg
De’Metre Forney,04/24/2021,103.02,785 kg,92.4 kg
Brendan Todd,04/08/2021,103.01,820 kg,101.2 kg
Quintin Meyer,05/10/2019,103.01,1063.5 kg,119.3 kg
Omar Marquez,12/17/2022,102.98,917.5 kg,130.3 kg
Joseph Bierly,04/22/2023,102.98,700 kg,73.7 kg
Lawrence Abner,03/02/2019,102.98,695 kg,72.7 kg
T. Justin Cooper,03/19/2023,102.96,815 kg,100 kg
Louis Arnold,02/03/2018,102.94,777.5 kg,90.8 kg
Nathan Alexander,12/05/2020,102.90,890 kg,121.5 kg
Tadriaun Logan,12/12/2020,102.86,777.5 kg,90.9 kg
Ethan Del Toro,02/16/2019,102.86,777.5 kg,90.9 kg
Dylan Campbell,11/05/2022,102.85,840 kg,106.9 kg
Joseph Cappellino,03/02/2019,102.76,1170 kg,164.1 kg
