Name,Date,points,Weight,Body Weight
John Planas,06/29/2019,96.72,827.5 kg,118.5 kg
Delbert Moran,07/24/2021,96.72,702.5 kg,83.9 kg
Milo Arlinghaus,05/27/2023,96.72,727.5 kg,90 kg
Antonio Thomas,05/01/2022,96.72,792.5 kg,107.7 kg
Anthony Gargiulo,01/13/2019,96.72,817.5 kg,115.3 kg
Nathan Gorham,03/03/2023,96.72,827.5 kg,118.5 kg
Nicholas Gorham,10/15/2022,96.71,695 kg,82.2 kg
Andrew Jaroszewski,11/19/2022,96.70,760 kg,98.5 kg
Adam Cavallaro,08/24/2019,96.70,732.5 kg,91.3 kg
Oscar Hernandez,03/11/2023,96.69,660 kg,74.3 kg
Marshall Willingham,04/12/2019,96.69,727.5 kg,90.1 kg
Marc Thomas,11/16/2019,96.69,722.5 kg,88.8 kg
Cody Shreve,12/11/2021,96.68,695 kg,82.2 kg
Tevin Browne,05/01/2021,96.68,965 kg,176.6 kg
John Paul Arreglado,03/11/2023,96.66,625 kg,67 kg
David Thompson,06/11/2023,96.66,797.5 kg,109.3 kg
Cody Gassman,03/19/2022,96.65,720 kg,88.3 kg
Raymond Jin,01/21/2023,96.61,760 kg,98.7 kg
William LeBlanc,03/16/2019,96.60,780 kg,104.3 kg
John Tyler,01/23/2021,96.60,697.5 kg,82.9 kg
William O'Neil-White,10/08/2022,96.60,867.5 kg,132.8 kg
Kyle Phipps,10/02/2021,96.58,722.5 kg,89 kg
David Cauchon,05/06/2017,96.56,647.5 kg,71.8 kg
Michael Lewis,04/13/2023,96.56,680 kg,78.9 kg
Michael Rodriguez,12/03/2016,96.56,862.5 kg,131.1 kg
Nolan Matthew,02/15/2014,96.55,775 kg,103 kg
William Valle,03/04/2017,96.53,737.5 kg,92.9 kg
Chris Morris,11/19/2022,96.53,717.5 kg,87.9 kg
Erik Kasabuske,08/15/2016,96.52,887.5 kg,92.5 kg
Mike Zimmerman,06/04/2016,96.52,807.5 kg,112.7 kg
Clarence Lyons,07/27/2019,96.50,727.5 kg,90.4 kg
Mike Tedesco,04/13/2023,96.50,790 kg,107.4 kg
Stephen Johnson-Shea,04/13/2023,96.49,750.5 kg,96.4 kg
Manik Sarik,10/22/2022,96.49,660 kg,74.6 kg
David Mcdonald,03/06/2020,96.49,652.5 kg,73 kg
Michael Hennessy,09/10/2022,96.49,690 kg,81.4 kg
Anthony Loreto,09/29/2018,96.48,735 kg,92.4 kg
Nicholas Arce,07/21/2018,96.48,737.5 kg,93 kg
Brad Vivace,09/17/2017,96.46,802.5 kg,111.3 kg
jaron christian,12/17/2016,96.46,735 kg,92.4 kg
Johnny Vega,10/16/2021,96.44,687.5 kg,80.9 kg
Willie Lim,10/10/2017,96.44,617.5 kg,65.8 kg
Jack Lutze,04/13/2023,96.44,655 kg,73.6 kg
Evan Bushman,03/25/2023,96.43,710 kg,86.2 kg
Christian Coronado,10/16/2019,96.41,695 kg,82.7 kg
Jacob Odum,04/13/2023,96.40,692.5 kg,82.1 kg
Decarlo Myles,12/08/2018,96.39,732.5 kg,91.9 kg
Daniel Austin,07/21/2018,96.39,692.5 kg,82.1 kg
Peter Esset,04/22/2023,96.37,722.5 kg,89.4 kg
Kelenei Kintaro,01/21/2023,96.37,792.5 kg,108.5 kg
Nolan Toti,01/18/2020,96.37,827.5 kg,119.5 kg
Joshua Price,01/29/2022,96.36,842.5 kg,124.6 kg
Reginald Mouton,03/25/2023,96.36,692.5 kg,82.2 kg
Thomas Gottschalk,05/04/2019,96.35,727.5 kg,90.7 kg
Johnathan Nguyen,04/13/2023,96.34,617.5 kg,65.9 kg
Jacob Green,04/30/2023,96.34,722.5 kg,89.5 kg
Jarel Turner,06/15/2019,96.34,700 kg,84 kg
Matthew Anderson,10/16/2019,96.33,655 kg,73.8 kg
Ronald Yard Jr,12/12/2014,96.33,840.5 kg,124 kg
Joseph Pena,04/08/2021,96.33,975 kg,184.4 kg
Edward Hinson,02/17/2023,96.32,687.5 kg,81.1 kg
Michael Jin,10/11/2018,96.32,695 kg,82.8 kg
Victor Cabali,11/13/2021,96.32,695 kg,82.8 kg
Michael Weshnak,07/09/2021,96.31,730 kg,91.4 kg
Justen Frank,03/14/2014,96.31,762.4 kg,100 kg
Ken Morris,10/11/2018,96.29,880 kg,138.7 kg
Jesse Moores,03/04/2017,96.29,617.5 kg,66 kg
Cordarius Harris,06/17/2023,96.29,645.5 kg,57.2 kg
Nathan Redwing,04/23/2022,96.26,907.5 kg,150.3 kg
Allan Bautista,08/13/2022,96.26,682.5 kg,80 kg
Spencer Mann,11/05/2022,96.25,792.5 kg,108.8 kg
Steven Archer,04/06/2019,96.24,772.5 kg,103 kg
John Paul Cauchi,11/05/2022,96.24,692.5 kg,82.4 kg
Aaron Javier,02/04/2023,96.24,752.5 kg,97.5 kg
Mateo Manko,04/13/2023,96.22,787.5 kg,107.4 kg
Chris Salazar,06/25/2022,96.21,722.5 kg,89.7 kg
Emmanuel Agyemang,10/22/2022,96.21,685 kg,80.7 kg
Jeffrey Glover,06/04/2022,96.20,652.5 kg,73.4 kg
Rene Brunner,03/04/2017,96.20,775 kg,103.8 kg
Kayon Mitchell,11/12/2022,96.19,745 kg,95.6 kg
Mark Bogle,06/03/2023,96.19,630 kg,68.7 kg
Clifford David,11/14/2020,96.18,717.5 kg,88.5 kg
Jaime Turcios,03/18/2023,96.17,817.5 kg,116.8 kg
Wilton Adames,10/29/2022,96.17,752.5 kg,97.6 kg
Christopher Hanna,05/13/2023,96.16,645 kg,71.9 kg
Allen Matsumoto,02/04/2023,96.16,717.5 kg,88.6 kg
Eddie Lundberg,02/12/2023,96.16,690 kg,81.9 kg
Lee Gerth,09/10/2022,96.16,755 kg,98.3 kg
Matthew Himes,01/28/2023,96.16,655 kg,74 kg
Connor Parks,12/10/2022,96.15,790 kg,108.3 kg
Robert Moore,03/25/2023,96.15,692.5 kg,82.5 kg
Gavin King,04/08/2021,96.14,720 kg,89.2 kg
Phillip Wilson,01/15/2022,96.14,682.5 kg,80.2 kg
Obed Hernandez,04/08/2021,96.14,882.5 kg,92.2 kg
Abiy Ababu,01/21/2023,96.13,780 kg,105.4 kg
Roland Julian Sulit,11/13/2022,96.10,690 kg,82 kg
Dawson Castro,04/22/2023,96.09,685 kg,80.9 kg
Makay Ashby,04/29/2023,96.09,685 kg,80.9 kg
Joshua Smith,12/07/2019,96.09,715 kg,88.1 kg
Auston Wallace,07/15/2017,96.08,732.5 kg,92.5 kg
Curtis Whitten,06/25/2022,96.08,752.5 kg,97.8 kg
Ryan King,05/14/2016,96.08,732.5 kg,92.5 kg
miguel jimenez,04/13/2023,96.07,620 kg,66.8 kg
Bryan Dawe,10/22/2022,96.07,745 kg,95.8 kg
Robert Trettin,07/19/2013,96.07,775 kg,104.1 kg
James Meador IV,08/11/2018,96.06,987.5 kg,118 kg
Zack Anderson,03/11/2023,96.06,685 kg,80.9 kg
Nick Santangelo,04/28/2018,96.06,730 kg,91.9 kg
Donovan Parker Aleem,01/19/2019,96.06,727.5 kg,91.3 kg
Mark Harvey,10/16/2019,96.05,732.5 kg,92.6 kg
David Jurgens,01/29/2017,96.04,720 kg,89.4 kg
Cameron Barukzoy,06/08/2019,96.04,727.5 kg,91.3 kg
Richard Aluko,06/10/2016,96.04,690 kg,82.1 kg
Brett Kempski,11/23/2019,96.04,710 kg,86.9 kg
Charles Ellison,04/13/2023,96.03,690 kg,82.1 kg
Thomas O'Malley,07/11/2015,96.03,795 kg,110.1 kg
Davis Parella,03/06/2020,96.00,615 kg,65.8 kg
Kendall Washington,06/08/2022,96.00,622.5 kg,67.4 kg
Callum Hurst,05/27/2023,95.99,657.5 kg,74.8 kg
Joshua Sparks,05/06/2023,95.99,687.5 kg,81.6 kg
Zackary Sanders,10/10/2017,95.99,732.5 kg,92.7 kg
Alex Hanson,08/18/2018,95.99,687.5 kg,81.6 kg
Jesse Norman,05/21/2023,95.99,785 kg,107.2 kg
Joshua Dannunzio,01/18/2020,95.99,762.5 kg,100.8 kg
Carlos Mata,03/04/2023,95.96,652.5 kg,73.8 kg
Tony Nguyen,03/12/2023,95.96,752.5 kg,98.1 kg
John Haughney,02/24/2018,95.96,847.5 kg,127.6 kg
Jose Guzman,02/01/2020,95.96,730 kg,92.1 kg
Roderick Brown,03/20/2021,95.95,582.5 kg,59.5 kg
Lee Maccarone,10/01/2022,95.95,690 kg,82.3 kg
Joe Bertone,02/19/2022,95.95,827.5 kg,120.7 kg
Dylan Price,04/13/2023,95.94,652.5 kg,73.8 kg
Kristoff Firedancing,03/25/2023,95.94,840 kg,125 kg
Jon Moore,12/04/2021,95.94,812.5 kg,115.8 kg
Derek Dowrey,03/01/2020,95.93,955 kg,175.2 kg
Ronell Labrada,10/01/2022,95.93,792.5 kg,109.6 kg
Paul Manzella,01/28/2023,95.93,687.5 kg,81.7 kg
Benjamin Lawrence,10/29/2022,95.93,792.5 kg,109.6 kg
Daryl Duncan,06/01/2019,95.92,690 kg,82.3 kg
Peter Li,10/13/2018,95.91,645 kg,72.2 kg
Denzel Robinson,01/28/2023,95.90,705.5 kg,86.1 kg
